,Track Name,Artist(s) Name,Artist Count,Release Date,Streams (Cumulative),Total Playlists,Valence (%),Energy (%)
3,Cruel Summer,Taylor Swift,1,2019-08-23,800840817,8099,58,72
4,WHERE SHE GOES,Bad Bunny,1,2023-05-18,303236322,3304,23,80
10,un x100to,Bad Bunny,2,2023-04-17,505671438,2971,56,72
14,As It Was,Harry Styles,1,2022-03-31,2513188493,24841,66,73
21,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,1,2023-07-07,52135248,631,82,76
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,3,2023-06-02,115364561,2106,83,68
27,MOJABI GHOST,Bad Bunny,2,2023-06-29,61245289,935,74,71
29,Dance The Night (From Barbie The Album),Dua Lipa,1,2023-05-25,127408954,3131,78,85
32,Creepin',The Weeknd,3,2022-12-02,843957510,6394,17,61
33,Anti-Hero,Taylor Swift,1,2022-10-21,999748277,9489,51,63
37,Blank Space,Taylor Swift,1,2014-01-01,1355959075,11998,57,68
38,Style,Taylor Swift,1,2014-01-01,786181836,8075,48,79
47,Die For You,The Weeknd,1,2016-11-24,1647990401,2575,51,52
48,Starboy,The Weeknd,2,2016-09-21,2565529693,32262,49,59
49,Die For You - Remix,The Weeknd,2,2023-02-24,518745108,3569,50,53
55,Blinding Lights,The Weeknd,1,2019-11-29,3703895074,47992,38,80
59,cardigan,Taylor Swift,1,2020-07-24,812019557,8171,53,58
62,Left and Right (Feat. Jung Kook of BTS),BTS,3,2022-06-24,720434240,3149,72,59
66,Karma,Taylor Swift,1,2022-10-21,404562836,3887,10,62
69,Enchanted (Taylor's Version),Taylor Swift,1,2023-07-07,39578178,188,22,53
83,Back To December (Taylor's Version),Taylor Swift,1,2023-07-07,39228929,160,20,64
84,STAY (with Justin Bieber),Justin Bieber,2,2021-07-09,2665343922,18340,48,76
87,Me Porto Bonito,Bad Bunny,2,2022-05-06,1440757818,9115,43,71
92,Coco Chanel,Bad Bunny,2,2023-03-17,250305248,2019,14,76
93,Don't Blame Me,Taylor Swift,1,2017-11-08,685032533,4894,19,53
99,Take Two,BTS,1,2023-06-09,118482347,719,57,59
100,Lover,Taylor Swift,1,2012-01-01,882831184,8771,50,55
103,Mockingbird,Eminem,1,2004-01-01,1241559043,15428,24,67
